objectid,title,status,url,digital_collection_ark,description,subject,genre,medium,type,date_start,date_end,item_count_old,binary_files,complete_objects,avian,platforms,aviary_only,aviary_item_count,featured_image,image_small,image_thumb,image_alt_text,image_source,search_index,data_location,repository_location
tdps,"Theatre, Dance and Performance Studies Production Archive",published,https://digitalgrinnell-secondary.z19.web.core.windows.net/tdps/browse.html,,"A repository of photographs, playbills, posters, and other media documenting the production history of the Grinnell College Department of Theatre, Dance, and Performance Studies.",Theatre; Dance; Performance,,,,,,,0,0,,CollectionBuilder,No,0,https://digitalgrinnell.blob.core.windows.net/objs/tdps/tdps_dg_1781713203.JPG,https://digitalgrinnell.blob.core.windows.net/smalls/tdps/tdps_dg_1781713203_SMALL.jpg,https://digitalgrinnell.blob.core.windows.net/thumbs/tdps/tdps_dg_1781713203_TN.jpg,,aaap3566,TRUE,https://digitalcollections.lib.iastate.edu/aaap/assets/data,
georgia-dentel,"Georgia Dentel and Grinnell Concerts History, 1960-2001 - Interviews",published,https://digitalgrinnell-secondary.z19.web.core.windows.net/georgia-dentel/browse.html,,"Georgia Dentel was an enigmatic but influential figure of Grinnell College. During her service at Grinnell College, she heavily influenced and enriched the campus culture and student life. Remarkably, Georgia Dentel booked countless concerts performed by top-notch artists and films in various genres when her budget was limited by the college’s financial conditions. However, Georgia was rarely mentioned in archives. Her contributions to the college were rarely documented, and she remained as a mysterious figure.",Georgia Dentel; concerts,,,,,,,0,0,,CollectionBuilder,No,0,https://digitalgrinnell.blob.core.windows.net/theme-elements/Georgia-Dentel-Oct-1973-Calendar.png,https://digitalgrinnell.blob.core.windows.net/theme-elements/Georgia-Dentel-Oct-1973-Calendar.png,https://digitalgrinnell.blob.core.windows.net/theme-elements/Georgia-Dentel-Oct-1973-Calendar.png,,,,,
